"EN.1";"EN.2";"RO.1";"RO.2";"AR.1";"AR.2";"ES.1";"ES.2";"score"
"street";"place";"stradă";"loc";"شارع";"مكان";"calle";"lugar";6.44
"stroke";"hospital";"astm";"spital";"سكتة";"مستشفى";"ataque";"hospital";7.03
"student";"professor";"student";"profesor";"طالب";"أستاذ";"estudiante";"profesor";6.81
"sugar";"approach";"zahăr";"apropia";"سكر";"نهج";"azucar";"acercamiento";0.88
"summer";"drought";"vară";"secetă";"صيف";"جفاف";"verano";"sequia";7.16
"summer";"nature";"vară";"natură";"صيف";"طبيعة";"verano";"naturaleza";5.63
"telephone";"communication";"telefon";"dialog";"هاتف";"اتصال";"telefono";"comunicacion";7.5
"television";"film";"televiziune";"film";"تلفاز";"فيلم";"telefono";"pelicula";7.72
"television";"radio";"televizor";"radio";"تلفاز";"راديو";"television";"radio";6.77
"tennis";"racket";"tenis";"rachetă";"تنس";"مضرب";"tenis";"raqueta";7.56
"territory";"kilometer";"teritoriu";"kilometru";"أراضي";"كيلومتر";"territorio";"kilometro";5.28
"territory";"surface";"teritoriu";"suprafaţă";"أراضي";"مساحة";"territorio";"superficie";5.34
"theater";"history";"cinema";"istorie";"مسرح";"تاريخ";"teatro";"historia";3.91
"tiger";"animal";"tigru";"animal";"نمر";"حيوان";"tigre";"animal";7
"tiger";"carnivore";"tigru";"carnivor";"نمر";"مفترس";"tigre";"carnivoro";7.08
"tiger";"cat";"tigru";"pisică";"نمر";"قط";"tigre";"gato";7.35
"tiger";"fauna";"tigru";"faună";"نمر";"حيوان";"tigre";"fauna";5.62
"tiger";"feline";"tigru";"felină";"نمر";"قط";"tigre";"felino";8
"tiger";"jaguar";"tigru";"jaguar";"نمر";"جاكوار";"tigre";"jaguar";8
"tiger";"mammal";"tigru";"mamifer";"نمر";"ثديي";"tigre";"mamifero";6.85
"tiger";"organism";"tigru";"organism";"نمر";"كائن";"tigre";"organismo";4.77
"tiger";"tiger";"tigru";"tigru";"نمر";"نمر";"tigre";"tigre";10
"tiger";"zoo";"tigru";"rezervaţie";"نمر";"حديقة";"tigre";"zoo";5.87
"tool";"implement";"instrument";"unealtă";"أداة";"تنفيذ";"herramienta";"implementar";6.46
"train";"car";"tren";"maşină";"قطار";"سيارة";"tren";"coche";6.31
"travel";"activity";"călătorie";"activitate";"سفر";"نشاط";"viaje";"actividad";5
"treatment";"recovery";"tratament";"recuperare";"علاج";"انتعاش";"tratamiento";"recuperacion";7.91
"type";"kind";"tip";"fel";"صنف";"نوع";"tipo";"clase";8.97
"victim";"emergency";"victimă";"urgenţă";"ضحية";"طوارئ";"victima";"emergencia";6.47
"video";"archive";"video";"arhivă";"فيديو";"أرشيف";"video";"archivo";6.34
"viewer";"serial";"telespectator";"serial";"مشاهد";"متسلسل";"espectador";"serial";2.97
"vodka";"brandy";"vodcă";"coniac";"فودكا";"براندي";"vodka";"brandy";8.13
"vodka";"gin";"vodcă";"gin";"فودكا";"نبيذ";"vodka";"ginebra";8.46
"volunteer";"motto";"voluntar";"motto";"متطوع";"شعار";"voluntario";"lema";2.56
"war";"troops";"război";"trupe";"حرب";"قوات";"guerra";"tropas";8.13
"water";"seepage";"apă";"scurgere";"ماء";"تسرب";"agua";"filtracion";6.56
"weapon";"secret";"FBI";"amprentă";"سلاح";"سري";"arma";"secreto";6.06
"weather";"forecast";"vreme";"prognoză";"الطقس";"تكهن";"tiempo";"pronostico";8.34
"Wednesday";"news";"Miercuri";"ştiri";"اّربعاء";"أخبار";"miercoles";"noticias";2.22
"wood";"forest";"lemn";"pădure";"خشب";"غابة";"madera";"forestales";7.73
"word";"similarity";"cuvânt";"similaritate";"كلمة";"تشابه";"palabra";"similitud";4.75
